Center Image,Left Image,Right Image,Steering,Throttle,Reverse,Speed
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_34_484.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_34_484.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_34_484.jpg,0,0,0,6.26E-06
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_34_556.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_34_556.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_34_556.jpg,0,0,0,4.36E-06
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_34_629.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_34_629.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_34_629.jpg,0,0,0,3.14E-06
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_34_699.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_34_699.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_34_699.jpg,0,0.161859,0,0.09194861
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_34_767.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_34_767.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_34_767.jpg,0,0.3599772,0,0.3241663
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_34_839.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_34_839.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_34_839.jpg,0,0.6057978,0,0.7549439
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_34_912.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_34_912.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_34_912.jpg,0,0.8225635,0,1.389411
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_34_982.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_34_982.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_34_982.jpg,0,1,0,1.990394
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_35_049.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_35_049.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_35_049.jpg,0,1,0,2.649012
C:\Users\Shehab Abdo\Documents\data\IMG\center_2023_09_29_12_02_35_125.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\left_2023_09_29_12_02_35_125.jpg,C:\Users\Shehab Abdo\Documents\data\IMG\right_2023_09_29_12_02_35_125.jpg,0,1,0,3.558854
